plr_id,plr_name,bezirk,flaeche_km2,centroid_lat,centroid_lng,einwohner_gesamt,einwohner_18_35,einwohner_dichte,medianeinkommen_eur,mss_status_index,mss_dynamik_label,doener_count,doener_avg_rating,doener_total_reviews,doener_best_rating,doener_pct_delivery,doener_avg_hours_per_week,doener_pct_late_night,doener_pct_open_sunday,doener_avg_price_level,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count,gastro_gesamt,gastro_neu,einwohner_pro_doener,wettbewerb_index,gastro_fluktuation,gentrification_flag
06200317,Lankwitz Süd,Steglitz-Zehlendorf,1.4816,52.424884,13.357207,6257.0,951.0,4223.1,4151.0,2.0,stabil,0,,0,,,,,,,9,1,2,1,3,0,5,1,,0.0,0.2,0.0
04501146,Barstraße,Charlottenburg-Wilmersdorf,0.6685,52.487026,13.312076,4744.0,1253.0,7096.5,3946.0,2.0,stabil,0,,0,,,,,,,8,0,6,3,19,0,26,11,,0.0,0.423,0.0
08100206,Flughafenstraße,Neukoelln,0.4216,52.482083,13.42841,9350.0,2738.0,22177.4,3939.0,2.0,positiv,7,4.5,3218,5.0,57.1,86.4,100.0,85.7,2.5,1,1,21,23,23,5,114,42,1335.7,1.283,0.368,1.0
03400828,Spiekermann Straße,Pankow,0.3645,52.556547,13.426544,4934.0,1185.0,13536.4,4378.0,2.0,stabil,1,4.4,359,4.4,100.0,114.0,100.0,100.0,1.0,0,0,9,1,2,1,10,4,4934.0,0.405,0.4,0.0
05100316,Carl-Schurz-Straße,Spandau,1.3775,52.539245,13.196746,10505.0,2607.0,7626.1,3341.0,3.0,stabil,18,4.29,10107,4.9,44.4,96.6,83.3,94.4,5.29,40,0,17,15,26,15,94,49,583.6,3.141,0.521,0.0
11401033,Gensinger Straße,Lichtenberg,0.4533,52.511351,13.525655,6890.0,1648.0,15199.6,3486.0,2.0,stabil,1,3.4,257,3.4,0.0,0.0,0.0,100.0,1.0,9,0,3,1,7,0,10,4,6890.0,0.145,0.4,0.0
11401135,Dolgenseestraße,Lichtenberg,0.7,52.494544,13.506018,11011.0,2518.0,15730.0,3516.0,2.0,stabil,2,3.85,446,4.8,0.0,75.0,50.0,100.0,1.0,4,0,5,2,4,1,16,7,5505.5,0.272,0.438,0.0
04501041,George-Grosz-Platz,Charlottenburg-Wilmersdorf,0.4648,52.502406,13.318045,5420.0,1128.0,11660.9,5447.0,2.0,negativ,0,,0,,,,,,,3,4,8,24,51,2,140,44,,0.369,0.314,0.0
04300415,Lietzensee,Charlottenburg-Wilmersdorf,0.6331,52.50513,13.28732,6258.0,1366.0,9884.7,4856.0,2.0,stabil,2,4.55,1470,4.7,50.0,123.5,100.0,100.0,1.0,6,0,12,6,6,0,32,11,3129.0,0.32,0.344,0.0
07601238,Marienfelde Nordost,Tempelhof-Schoeneberg,1.985,52.416959,13.384437,2877.0,522.0,1449.4,,2.0,stabil,0,,0,,,,,,,25,1,2,0,13,1,16,5,,0.348,0.312,0.0
